iteration,rows_retrieved,time_to_get - pods to host,time_to_get - localhost,time_to_get - pods to kube vm,time_to_get - AuraDB
1,200000,32.75773293,11.74526149,,34.53498286
2,200000,32.48799844,11.87596604,,34.42879551
3,200000,31.97219446,11.5316474,,35.54387374
4,200000,32.02840077,11.80725813,,33.88732676
5,200000,31.84624541,11.5079985,,34.54978152
6,200000,31.95371863,11.8555331,,34.32956662
7,200000,31.48800886,11.56789987,,34.22813677
8,200000,31.72830304,11.60684586,,35.83195359
9,200000,32.22007477,11.83943524,,25.90909197
10,200000,31.99606395,11.92195641,,25.09078887
11,200000,32.09978678,11.80394813,,34.18452576
12,200000,32.64049185,11.45386919,,34.9948718
13,200000,31.63176207,11.61285347,,26.52820484
14,200000,32.76130667,11.524923,,26.01718499
15,200000,31.59303341,11.5840269,,34.32722326
16,200000,32.01594289,11.80734992,,26.24113576
17,200000,32.34662419,11.42174883,,25.60635921
18,200000,31.66652198,11.34641904,,26.10068199
19,200000,31.35321531,11.83259249,,25.96024179
20,200000,32.04742331,11.6310916,,34.45510152
21,200000,31.58508107,11.62844126,,26.50089103
22,200000,31.40122712,11.54084236,,25.58149281
23,200000,32.25343953,11.47412119,,29.60538783
24,200000,31.8647942,11.72803829,,26.07006755
25,200000,33.37991693,11.80454613,,34.07110768
26,200000,31.82267435,11.73898909,,33.97154686
27,200000,31.47965956,11.52341342,,26.87927449
28,200000,31.36202643,11.55764361,,25.60176423
29,200000,31.37129934,11.31523119,,34.26105959
30,200000,32.52550348,11.71591368,,25.87032941
31,200000,31.79853004,,,
32,200000,31.54183778,,,
33,200000,32.12930097,,,
34,200000,32.3963372,,,
35,200000,31.69002085,,,
36,200000,33.28942529,,,
37,200000,31.76301398,,,
38,200000,32.43843507,,,
39,200000,31.45336428,,,
41,200000,32.63320665,,,
42,200000,31.73021894,,,
43,200000,33.38611141,,,
44,200000,36.38767253,,,
45,200000,32.70613698,,,
46,200000,32.44867751,,,
47,200000,31.80176737,,,
48,200000,31.88861087,,,
49,200000,31.6710871,,,
50,200000,31.80085741,,,
51,200000,35.32234465,,,
52,200000,34.94745284,,,
53,200000,33.92509066,,,
54,200000,35.42331486,,,
55,200000,34.11337909,,,
56,200000,34.94225501,,,
57,200000,33.86048669,,,
58,200000,35.15575772,,,
59,200000,34.99660792,,,
