iteration,rows_retrieved,time_to_get - pods to host,time_to_get - localhost,time_to_get - pods to kube vm,time_to_get - AuraDB
1,10000,2.352810746,0.5651012966,gross,2.07582723
2,10000,1.831514983,0.7335005198,,1.559731523
3,10000,2.448978409,0.5622075517,,1.791606347
4,10000,2.364598834,0.5632478315,,1.497733666
5,10000,1.84149754,0.7380200988,,1.510070626
6,10000,1.831603806,0.5300965449,,1.511143745
7,10000,1.818526113,0.518014756,,1.759327197
8,10000,1.83691858,0.5477693155,,1.855306923
9,10000,2.400876133,0.7916358812,,1.484425362
10,10000,1.825438849,0.5373438671,,1.781195402
11,10000,2.396636659,0.5087740542,,1.499471667
12,10000,1.8682471,0.7234131889,,1.425404493
13,10000,1.833923793,0.5210701851,,1.777917251
14,10000,1.813973138,0.5388228651,,1.575731376
15,10000,1.82399662,0.7187374793,,1.397152998
16,10000,1.819973229,0.5639229836,,1.427420752
17,10000,2.373616185,0.498493148,,1.622829598
18,10000,2.40502307,0.5514062261,,1.421119585
19,10000,1.773933607,0.753160784,,1.390573743
20,10000,1.833911574,0.5463801548,,2.0442754
21,10000,2.968496691,0.5064443937,,1.385843921
22,10000,1.860705478,0.7684005015,,1.388226331
23,10000,1.835408458,0.5245398451,,1.388635026
24,10000,2.371865399,0.535771152,,1.574118381
25,10000,2.402175167,0.7036814764,,6.246152665
26,10000,1.805953683,0.513141661,,3.158294092
27,10000,1.860396427,0.5256032823,,2.447467899
28,10000,1.815078516,0.541236815,,1.774658545
29,10000,1.842109138,0.7272100691,,2.075879892
30,10000,1.833005667,0.5367337521,,1.698084555
31,10000,2.388979633,0.5056711864,,2.251361567
32,10000,1.79233704,0.7621866781,,1.455647162
33,10000,2.377757777,0.5524715213,,1.454894295
34,10000,1.856998542,0.5350900851,,1.693088298
35,10000,1.832068534,0.7606997397,,1.4216021
36,10000,1.806072568,0.5186234154,,1.43413346
37,10000,1.840970867,0.5187748708,,1.761091676
38,10000,2.360510267,0.5429012049,,1.492672876
39,10000,1.795508938,0.7761144601,,1.425627546
40,10000,1.84533826,0.5419957675,,1.409910921
41,10000,2.420568428,0.5101165622,,1.658104403
42,10000,1.823625257,0.7090334212,,1.447132203
43,10000,1.839076072,0.54916286,,6.589450001
44,10000,1.821843727,0.5305510266,,3.279592361
45,10000,3.099200886,0.722895043,,2.218879533
46,10000,1.842793973,0.531085154,,1.775215155
47,10000,1.796387427,0.5392795047,,1.664157081
48,10000,1.806271347,0.5225640722,,1.606003143
49,10000,2.391953801,0.7402978214,,1.491330456
50,10000,1.808743731,0.5186718013,,1.444639774
51,10000,1.815966031,0.529883842,,1.645810935
52,10000,2.348441115,0.7506761802,,6.773085271
53,10000,1.818661072,0.5177725097,,3.161980796
54,10000,1.825005376,0.5368651701,,2.411294074
55,10000,1.85015078,0.5295183295,,1.782029207
56,10000,1.829118663,0.7704473473,,1.658796232
57,10000,2.562434546,0.5247289445,,1.469828743
58,10000,2.272768981,0.5398776606,,1.730591358
59,10000,1.800106424,0.7323642764,,1.535610481
60,10000,1.862531853,0.5327107878,,1.441156892
