iteration,rows_retrieved,time_to_get - pods to host,time_to_get - localhost,time_to_get - pods to kube vm
1,200000,3.329251342,0.2846334483,
2,200000,3.905653536,0.2368836608,
3,200000,4.752790999,0.2366993921,
4,200000,4.044081154,0.2408127729,
5,200000,3.266721712,0.2341977488,
6,200000,3.218577153,0.2200403549,
7,200000,3.473173497,0.2509817919,
8,200000,3.224443968,0.2360260263,
9,200000,4.916930806,0.2232256597,
10,200000,3.975697068,0.2186923493,
11,200000,3.331683085,0.2423889693,
12,200000,3.173744263,0.241300826,
13,200000,3.960333629,0.2425746871,
14,200000,3.264884468,0.2496443167,
15,200000,3.392087419,0.2237563543,
16,200000,3.39582642,0.22676278,
17,200000,3.121822334,0.2313260417,
18,200000,4.529282654,0.2226529056,
19,200000,3.991358694,0.225642873,
20,200000,4.080805522,0.256737018,
21,200000,3.249528844,0.2514632829,
22,200000,3.336164483,0.2472678563,
23,200000,3.161596083,0.2422432816,
24,200000,3.138843079,0.2288933806,
25,200000,3.390191488,0.2355969977,
26,200000,3.159835734,0.2285732348,
27,200000,4.228110556,0.2445057957,
28,200000,3.326176358,0.229615516,
29,200000,4.129427009,0.2274994785,
30,200000,3.307868494,0.239304631,
31,200000,6.889472024,0.2369032484,
32,200000,4.093236378,0.2340296675,
33,200000,3.310024825,0.2449337495,
34,200000,3.570153968,0.2375392411,
35,200000,3.172812015,0.2384849088,
36,200000,3.158258143,0.2219186304,
37,200000,3.160145538,0.2298933789,
38,200000,3.391082644,0.2207476115,
39,200000,3.41000409,0.2281450601,
40,200000,4.021701451,0.2512552738,
41,200000,4.324308336,0.2209125347,
42,200000,4.972418483,0.2690365044,
43,200000,3.936454368,0.2217163127,
44,200000,3.312271584,0.2406941168,
45,200000,3.403815947,0.2444044258,
46,200000,3.155331679,0.2392780269,
47,200000,3.163654033,0.2313238466,
48,200000,4.076968078,0.2334629754,
49,200000,4.562229685,0.2339426028,
50,200000,3.416011593,0.256404792,
51,200000,3.41188844,0.2269527065,
52,200000,3.631560389,0.2434443478,
53,200000,4.15742327,0.2468929775,
54,200000,3.707776979,0.2312260633,
55,200000,7.031875074,0.245207211,
56,200000,3.558680569,0.2353698341,
57,200000,3.438868686,0.2338615274,
58,200000,3.175743757,0.2304260889,
59,200000,4.584529093,0.2387563,
60,200000,4.051172265,0.2201426681,
